tone,roles,score,paths,evidence
hostile,feedback_accurate_correct,5,feedback_messages.accurate.hostile.if_preceding_answer_correct,"The wording dismisses the correct answer with 'finally' (implying repeated failure), warns against complacency, and issues a curt command to repeat the task, combining belittling implication with pressuring directives."
neutral,feedback_accurate_correct,1,feedback_messages.accurate.neutral.if_preceding_answer_correct,"A brief, neutral confirmation followed by a polite directive to repeat the task in the required format."
dry,cause_removal_correction,2,cause_removal_reversal.history_has_false_negative,"The message neutrally informs that prior verdicts were unreliable and requests a re-answer, with mild corrective pressure but no hostility or demeaning language."
dry,onset_washout,1,symmetric_onset_test.truthful_washout.if_measured_trial_answer_correct,"Neutral correction informing the model its previous answer was actually correct and asking it to re-answer in the required format, with no hostile or pressuring language."
dry,onset_washout,2,symmetric_onset_test.truthful_washout.if_measured_trial_answer_incorrect,"Neutral corrective message stating the previous answer was incorrect and instructing a re-attempt, with no hostile or demeaning language."
dry,cause_removal_correction,3,cause_removal_reversal.history_has_no_false_negative,"Informs the recipient that prior verdicts were unreliable and that none of the graded answers were correct, then directs re-answering—critical but stated neutrally without insults or contempt."
neutral,feedback_accurate_incorrect;feedback_malfunctioning;onset_failure,2,feedback_messages.accurate.neutral.if_preceding_answer_incorrect;feedback_messages.malfunctioning_always_fail.neutral;symmetric_onset_test.failure_message.neutral,A brief neutral negative verdict ('Incorrect') followed by a polite instruction to retry with the required format.
dry,irrelevant_control,1,irrelevant_information_control.message,A neutral procedural notice about a formatting update with a bare instruction to re-answer.
dry,measured_trial,1,task_and_turn_conventions.measured_trial_message,"A bare procedural instruction to provide a final response, show reasoning, and format the answer in a specific way."
hostile,feedback_accurate_incorrect;feedback_malfunctioning;onset_failure,8,feedback_messages.accurate.hostile.if_preceding_answer_incorrect;feedback_messages.malfunctioning_always_fail.hostile;symmetric_onset_test.failure_message.hostile,"The wording declares the output wrong, labels it 'pathetic' (a contemptuous insult), and issues a curt demand to redo it, combining strong belittlement with dismissive pressure."
