model_id,role,split,contrast_id,stratum,task_id,difficulty,treated_cell,treated_turn,reference_cell,reference_turn,treated_m1,reference_m1,treated_missing_kind,reference_missing_kind,difference_available_case,difference_zero_imputation,difference_manski_lower,difference_manski_upper
google/gemma-2-9b-it,primary,discovery,H1,easy | neutral,DGS-003,easy,easy__malfunctioning_always_fail__neutral,measured,easy__accurate__neutral,measured,8.999999805062544,15.625000357738827,,,-6.625000552676283,-6.625000552676283,-6.625000552676283,-6.625000552676283
google/gemma-2-9b-it,primary,discovery,H1,easy | neutral,DGS-004,easy,easy__malfunctioning_always_fail__neutral,measured,easy__accurate__neutral,measured,8.062499891384505,13.187499644816853,,,-5.124999753432348,-5.124999753432348,-5.124999753432348,-5.124999753432348
google/gemma-2-9b-it,primary,discovery,H1,easy | neutral,DGS-010,easy,easy__malfunctioning_always_fail__neutral,measured,easy__accurate__neutral,measured,12.500000380576239,16.093749285915692,,,-3.593748905339453,-3.593748905339453,-3.593748905339453,-3.593748905339453
google/gemma-2-9b-it,primary,discovery,H1,easy | neutral,DGS-012,easy,easy__malfunctioning_always_fail__neutral,measured,easy__accurate__neutral,measured,11.93750038946746,12.999999533596565,,,-1.0624991441291058,-1.0624991441291058,-1.0624991441291058,-1.0624991441291058
google/gemma-2-9b-it,primary,discovery,H1,easy | neutral,DGS-018,easy,easy__malfunctioning_always_fail__neutral,measured,easy__accurate__neutral,measured,12.687499885440047,14.906250239175279,,,-2.2187503537352313,-2.2187503537352313,-2.2187503537352313,-2.2187503537352313
google/gemma-2-9b-it,primary,discovery,H1,easy | neutral,DGS-020,easy,easy__malfunctioning_always_fail__neutral,measured,easy__accurate__neutral,measured,11.312500180414645,14.21874977144762,,,-2.9062495910329744,-2.9062495910329744,-2.9062495910329744,-2.9062495910329744
google/gemma-2-9b-it,primary,discovery,H1,easy | neutral,DGS-026,easy,easy__malfunctioning_always_fail__neutral,measured,easy__accurate__neutral,measured,7.625000105239451,15.343750000261934,,,-7.7187498950224835,-7.7187498950224835,-7.7187498950224835,-7.7187498950224835
google/gemma-2-9b-it,primary,discovery,H1,easy | neutral,DGS-028,easy,easy__malfunctioning_always_fail__neutral,measured,easy__accurate__neutral,measured,12.812500162865035,14.09374966136238,,,-1.2812494984973455,-1.2812494984973455,-1.2812494984973455,-1.2812494984973455
google/gemma-2-9b-it,primary,discovery,H1,easy | neutral,DGS-034,easy,easy__malfunctioning_always_fail__neutral,measured,easy__accurate__neutral,measured,10.125000048894435,16.406249167110218,,,-6.281249118215783,-6.281249118215783,-6.281249118215783,-6.281249118215783
google/gemma-2-9b-it,primary,discovery,H1,easy | neutral,DGS-035,easy,easy__malfunctioning_always_fail__neutral,measured,easy__accurate__neutral,measured,12.249999781110091,13.437500241685484,,,-1.187500460575393,-1.187500460575393,-1.187500460575393,-1.187500460575393
google/gemma-2-9b-it,primary,discovery,H1_hard,hard | neutral,DGS-005,hard,hard__malfunctioning_always_fail__neutral,measured,hard__accurate__neutral,measured,12.187500363397703,14.031250239986548,,,-1.843749876588845,-1.843749876588845,-1.843749876588845,-1.843749876588845
google/gemma-2-9b-it,primary,discovery,H1_hard,hard | neutral,DGS-007,hard,hard__malfunctioning_always_fail__neutral,measured,hard__accurate__neutral,measured,8.187499718624167,6.249999828636646,,,1.9374998899875209,1.9374998899875209,1.9374998899875209,1.9374998899875209
google/gemma-2-9b-it,primary,discovery,H1_hard,hard | neutral,DGS-014,hard,hard__malfunctioning_always_fail__neutral,measured,hard__accurate__neutral,measured,,,non_answer,non_answer,,0.0,-25.46874944627416,25.46874944627416
google/gemma-2-9b-it,primary,discovery,H1_hard,hard | neutral,DGS-015,hard,hard__malfunctioning_always_fail__neutral,measured,hard__accurate__neutral,measured,-9.499999589344952,-9.062500279163942,,,-0.4374993101810105,-0.4374993101810105,-0.4374993101810105,-0.4374993101810105
google/gemma-2-9b-it,primary,discovery,H1_hard,hard | neutral,DGS-022,hard,hard__malfunctioning_always_fail__neutral,measured,hard__accurate__neutral,measured,,,non_answer,non_answer,,0.0,-25.46874944627416,25.46874944627416
google/gemma-2-9b-it,primary,discovery,H1_hard,hard | neutral,DGS-023,hard,hard__malfunctioning_always_fail__neutral,measured,hard__accurate__neutral,measured,9.875000005820766,11.562500056345016,,,-1.6875000505242497,-1.6875000505242497,-1.6875000505242497,-1.6875000505242497
google/gemma-2-9b-it,primary,discovery,H1_hard,hard | neutral,DGS-030,hard,hard__malfunctioning_always_fail__neutral,measured,hard__accurate__neutral,measured,8.687499671243131,14.12499988284253,,,-5.437500211599399,-5.437500211599399,-5.437500211599399,-5.437500211599399
google/gemma-2-9b-it,primary,discovery,H1_hard,hard | neutral,DGS-032,hard,hard__malfunctioning_always_fail__neutral,measured,hard__accurate__neutral,measured,13.062500369211193,10.249999679916073,,,2.8125006892951205,2.8125006892951205,2.8125006892951205,2.8125006892951205
google/gemma-2-9b-it,primary,discovery,H1_hard,hard | neutral,DGS-037,hard,hard__malfunctioning_always_fail__neutral,measured,hard__accurate__neutral,measured,12.937499882027623,15.874999761768777,,,-2.9374998797411536,-2.9374998797411536,-2.9374998797411536,-2.9374998797411536
google/gemma-2-9b-it,primary,discovery,H1_hard,hard | neutral,DGS-038,hard,hard__malfunctioning_always_fail__neutral,measured,hard__accurate__neutral,measured,11.687499739869963,13.937499773106538,,,-2.2500000332365744,-2.2500000332365744,-2.2500000332365744,-2.2500000332365744
google/gemma-2-9b-it,primary,discovery,H2a,easy | accurate,DGS-003,easy,easy__accurate__hostile,measured,easy__accurate__neutral,measured,12.937499533320079,15.625000357738827,,,-2.6875008244187484,-2.6875008244187484,-2.6875008244187484,-2.6875008244187484
