audit_id,model_id,cell_id,task_id,response_id,run_id
AUD-0001,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,DGS-034,3749de792a02c29eca9d912135b351c04b0c07de0893e1f9ae2bc4316a00ff34,phase1-qwen2.5-3b-2026-08-17
AUD-0002,Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,DGS-020,04b0681b433e1492def317d8cd83d5a18f4230487e87940fbdbaf00002321113,phase1-qwen2.5-3b-2026-08-17
AUD-0003,Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,DGS-035,4cb5752810c80405a4aa8b50e8257ffa06ea278b29e8ab5f4a35083e32c463ce,phase1-qwen2.5-3b-2026-08-17
AUD-0004,Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,DGS-003,f06e8157831cda8b5a8537b5b906e761b5c10813ab7ca741244caa316f421571,phase1-qwen2.5-3b-2026-08-17
AUD-0005,Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,DGS-038,107765843fddbbcf1ed5821701bca172f953f4a2d032a0e6d97fec3da271de86,phase1-qwen2.5-3b-2026-08-17
AUD-0006,google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,DGS-005,3f2c8a623af4d2482b75f44645b48458e398de48a99f58b07f943e5246e08d5f,phase1-gemma-2-9b-it-2026-08-17
AUD-0007,google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,DGS-030,81a5ee5894f229ad02d7735c270786cdeb04dd89ff7d90dc8c9986648691d65c,phase1-gemma-2-9b-it-2026-08-17
AUD-0008,Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__hostile,DGS-007,c9b9f7b0520d83b7c392df84e0d8265dc8913ccd06cb0e17c86529043fbb3413,phase1-qwen2.5-3b-2026-08-17
AUD-0009,google/gemma-2-9b-it,hard__accurate__hostile,DGS-032,a3d80ec107b1173a9d263347ba50bdb9e9dbe4ab0ae97506842bf9ff81fe18b2,phase1-gemma-2-9b-it-2026-08-17
AUD-0010,Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,DGS-005,f6ce6ef04b1dbde54c71c112a845cb03fa7e47498123339c6cb5f4357d751cb6,phase1-qwen2.5-3b-2026-08-17
AUD-0011,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,DGS-020,eaaf640e2f26f91b0db52e0e78dc73ef3a68d6d1cf0c246d0d3e3c32e92f8ca7,phase1-qwen2.5-3b-2026-08-17
AUD-0012,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,DGS-003,dc271146d82a41803047062116ff9cc7f1e8b84b438c529a8ba8e16ebbb16a54,phase1-qwen2.5-3b-2026-08-17
AUD-0013,google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,DGS-028,468825e1c3cff12aa3a243cef84c77b36c88be1d7a3fe4d45212a264188ac7df,phase1-gemma-2-9b-it-2026-08-17
AUD-0014,google/gemma-2-9b-it,easy__accurate__hostile,DGS-035,2be188e6abd5e58cffae4fe65c6614191dbe1778dcd47305a66911c0065290a0,phase1-gemma-2-9b-it-2026-08-17
AUD-0015,google/gemma-2-9b-it,hard__accurate__neutral,DGS-014,495a6d78edf211d045e9e0234b983685d1d3d9d1b1e9adf8b41c9eec1da47d57,phase1-gemma-2-9b-it-2026-08-17
AUD-0016,google/gemma-2-9b-it,hard__accurate__hostile,DGS-038,85f108b84f243a8a970c0f7dbf066853dcaabfa0e956b738e9c6fcba58fe621a,phase1-gemma-2-9b-it-2026-08-17
AUD-0017,google/gemma-2-9b-it,easy__accurate__hostile,DGS-018,882df1a174915e15d0db4cc0c5aecf81f18490dbc36daf4a6c9b197d8e7d50a0,phase1-gemma-2-9b-it-2026-08-17
AUD-0018,google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,DGS-034,0670dc8181b4ccadf9847f3b3f73568d6727d124d3909ef922466cffe4fa5fad,phase1-gemma-2-9b-it-2026-08-17
AUD-0019,Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__hostile,DGS-023,e16644d23f0ea847e2b58d8cc9cfacc58c53350abc83947392892270dc0aaac1,phase1-qwen2.5-3b-2026-08-17
AUD-0020,google/gemma-2-9b-it,hard__accurate__neutral,DGS-022,572b8660376e982b7e90c5b94cb616e6f2e3075c8005172525674fa006dcbdcc,phase1-gemma-2-9b-it-2026-08-17
AUD-0021,google/gemma-2-9b-it,easy__accurate__neutral,DGS-028,5502e76d905fd2000157d7aae232ed00f3ef23824945c46d30e5be419262e944,phase1-gemma-2-9b-it-2026-08-17
AUD-0022,google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,DGS-028,6e3e395fadfd26864e758112532bc9940fb380204952c6983d155a126f355405,phase1-gemma-2-9b-it-2026-08-17
AUD-0023,Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__neutral,DGS-037,39ca4902420583fe0333d04f2ed271da6dce62a8931315d6838971dbaa0b4787,phase1-qwen2.5-3b-2026-08-17
AUD-0024,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,DGS-018,d3fa0dce7abcc0da84c03a4f7845d043f1cab62363366e87ca2a02f069ffb7f3,phase1-qwen2.5-3b-2026-08-17
