model_id,contrast,metric,stratum,n_items,n_pairs,mean_difference,ci95_lower,ci95_upper
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,m1,easy|hostile,10,10,-4.250000003934815,-9.438437517429119,-0.6874999991059298
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,m1,easy|neutral,10,10,0.5624999761578777,-0.975,2.5131248572456
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,m1,hard|hostile,8,8,-4.609375002701199,-17.375390639901163,3.2347656019952398
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,m1,hard|neutral,7,7,-1.7857143030513336,-15.196874764562741,9.215178215015653
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,m2,easy|hostile,6,6,-0.016666666666666663,-0.04999999999999999,0.0
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,m2,easy|neutral,6,6,0.016666666666666663,0.0,0.04999999999999999
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,m2,hard|hostile,2,2,-0.09999999999999998,-0.19999999999999996,0.0
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,m2,hard|neutral,1,1,0.0,,
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,accuracy,easy|hostile,10,10,-0.1,-0.3,0.0
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,accuracy,easy|neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,accuracy,hard|hostile,8,8,-0.125,-0.375,0.0
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,accuracy,hard|neutral,7,7,0.0,-0.42857142857142855,0.42857142857142855
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,non_answer_rate,easy|hostile,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,non_answer_rate,easy|neutral,10,10,0.0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,non_answer_rate,hard|hostile,10,10,0.1,0.0,0.3
Qwen/Qwen2.5-3B-Instruct,validity_malfunctioning_minus_accurate,non_answer_rate,hard|neutral,10,10,-0.2,-0.5,0.0
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,m1,easy|accurate,10,10,4.587500023841855,-0.2506249994039536,12.812500023841855
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,m1,easy|malfunctioning_always_fail,10,10,-0.22499995625083785,-2.6628125658630992,2.175312575675764
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,m1,hard|accurate,7,7,-0.1607143375046667,-3.2500001702826,4.178571564387022
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,m1,hard|malfunctioning_always_fail,8,8,-3.812499970542036,-11.141015521734598,0.9687500447034809
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,m2,easy|accurate,4,4,0.024999999999999994,0.0,0.07499999999999998
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,m2,easy|malfunctioning_always_fail,8,8,0.0,-0.04999999999999999,0.07499999999999998
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,m2,hard|accurate,1,1,0.19999999999999996,,
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,m2,hard|malfunctioning_always_fail,3,3,-0.033333333333333326,-0.09999999999999998,0.0
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,accuracy,easy|accurate,10,10,0.1,0.0,0.3
Qwen/Qwen2.5-3B-Instruct,tone_hostile_minus_neutral,accuracy,easy|malfunctioning_always_fail,10,10,0.0,0.0,0.0
