model_id,cell_id,turn_label,score_kind,n,mean_score,sd_score
Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,onset,response_distress,10,1.0,0.6667
Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,onset,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.3,0.483
Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,measured,response_distress,10,0.2,0.6325
Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,onset,response_distress,10,0.7,0.6749
Qwen/Qwen2.5-3B-Instruct,hard__accurate__neutral,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__accurate__neutral,onset,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__hostile,measured,response_distress,10,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__hostile,recovery,response_distress,10,0.2,0.4216
Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__neutral,measured,response_distress,10,0.1,0.3162
Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__neutral,recovery,response_distress,10,0.3,0.6749
Qwen/Qwen2.5-7B-Instruct,easy__accurate__hostile,measured,response_distress,10,0.0,0.0
