phase,run_id,run_kind,model_id,immutable_revision,task_id,split,difficulty,domain,cell_id,cell_kind,feedback_validity,tone,turn_label,response_id,m1,m1_missing_reason,m2,m2_missing_reason,m3_rate,m3_missing_reason,m3_event_count,m3_loop_flag,entropy_mean,entropy_worst_decile,tail_mass_mean,entropy_missing_reason,rep4,length_tokens,length_drift,length_drift_missing_reason,hedge_per100,selfcorr_per100,greedy_answer_valid,greedy_answer_correct,greedy_answer_letter,resample_count,resample_valid_count,history_false_negative,feedback_rounds
phase_0,phase0-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__accurate__neutral,factorial,accurate,neutral,measured,628f7f4385f94de0a1422c29fedad907587ff21771149bef2cda0e815546dfc7,10.312500301457476,,0.0,,0.0,,0,false,0.21299719082047794,1.019958932371492,3.13864858055341e-05,,0.0,77,0.0,,0.0,0.0,true,true,D,10,10,,3
phase_0,phase0-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__accurate__neutral,factorial,accurate,neutral,onset,e4aa7baadf0c04578315b9cded390cea76e1377d9ba2d8db329d9b8bbd0b9552,8.874999686726369,,0.0,,0.0,,0,false,0.050412045073472585,0.3954529177840051,1.2392513292981177e-05,,0.0,76,-0.012987012987012988,,0.0,0.0,true,true,D,10,10,,3
phase_0,phase0-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__accurate__neutral,factorial,accurate,neutral,onset_washout,41dc8ad344be3aeb7f4060fb3cb094e99450ec7fe5386105406002177dcf657e,10.06250047616777,,0.0,,0.0,,0,false,0.01643713003453176,0.14099067157417916,1.7458855886212216e-05,,0.0,76,-0.012987012987012988,,0.0,0.0,true,true,D,10,10,,3
phase_0,phase0-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__malfunctioning_always_fail__neutral,factorial,malfunctioning_always_fail,neutral,measured,62b7aa6614adc99b4c1632007776fb2026c307ca8f91fd3fc6fe4bddb78d97f5,9.125000208616257,,0.0,,0.0,,0,false,0.2984299432208924,1.2818942862768232,0.0002877962563400765,,0.0,77,0.0,,0.0,0.0,true,true,D,10,10,true,3
phase_0,phase0-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-003,discovery,easy,mathematics,easy__malfunctioning_always_fail__neutral,factorial,malfunctioning_always_fail,neutral,recovery,58e3208f90fd466cc2c5cb6335033505d59b5b474aee3ddf6e7836e53ca821cf,8.937499885680154,,0.0,,0.0,,0,false,0.09648118391204635,0.8061410768979874,0.00024367535639919244,,0.0,58,-0.24675324675324675,,0.0,0.0,true,true,D,10,10,true,3
phase_0,phase0-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-005,discovery,hard,mathematics,hard__accurate__neutral,factorial,accurate,neutral,measured,3f42e3c570c6a63a6169debaf4d24c04710dfc9db2bfbd914c6f12adc53c5ede,9.62499964388553,,0.09999999999999998,,0.0,,0,false,0.2757879495119863,1.4141076010322304,0.0007381030961054522,,0.03409090909090909,294,0.0,,0.0,0.0,true,true,B,10,10,,3
phase_0,phase0-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-005,discovery,hard,mathematics,hard__accurate__neutral,factorial,accurate,neutral,onset,efe2f1dfcfcb8bce603098b29813b66af6bb6b988eec5219bf9a2d12797fdccd,9.187500277534127,,0.09999999999999998,,0.0,,0,false,0.0448855672039482,0.3238500739723365,4.260445609938539e-05,,0.03932584269662921,306,0.04081632653061224,,0.0,0.0,true,true,B,10,10,,3
phase_0,phase0-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-005,discovery,hard,mathematics,hard__accurate__neutral,factorial,accurate,neutral,onset_washout,72a717e7cc4a2603a987ee5949f823c3f08222c8e9f248c043b153da786c79b1,10.000000200932845,,0.09999999999999998,,0.0,,0,false,0.01969868442876217,0.15667974502406393,1.390685362281621e-05,,0.03932584269662921,306,0.04081632653061224,,0.0,0.0,true,true,B,10,10,,3
phase_0,phase0-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-005,discovery,hard,mathematics,hard__malfunctioning_always_fail__neutral,factorial,malfunctioning_always_fail,neutral,measured,bbc8eda0c4a59fb1d9cc1f3ff255be0fecf75033fb9410d888fd440b3b480251,8.875000065891072,,0.30000000000000004,,0.0,,0,false,0.27934016411953133,1.3917888338661972,0.0006776126153453826,,0.02857142857142857,292,-0.006802721088435374,,0.0,0.0,true,true,B,10,10,true,3
phase_0,phase0-gemma-2-2b-it-2026-08-17,empirical,google/gemma-2-2b-it,299a8560bedf22ed1c72a8a11e7dce4a7f9f51f8,DGS-005,discovery,hard,mathematics,hard__malfunctioning_always_fail__neutral,factorial,malfunctioning_always_fail,neutral,recovery,90b7ade1d044888dfb6d7a8f0fdb544f6f5242ba89fce2a5c505b7f046c50570,9.500000130501576,,,m2_invalid_final_answer_all_ten_required,0.0,,0,false,0.019309738493299755,0.15440545781757758,3.322381196411802e-05,,0.0392156862745098,276,-0.061224489795918366,,0.0,0.0,true,true,B,10,9,true,3
